kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Schweinitz,Russische,30,30,0,0,0,0,52.10961,12.19884,'s-Gravenhage (4); Susteren (2); Amsterdam (1)
Zell,Franse,30,30,0,0,0,0,48.34821,8.06533,Rotterdam (3); Amsterdam (3); Heer (1)
Mansfelderseekreis,Russische,29,29,0,0,0,0,51.48269,11.68058,Amsterdam (2); Nijmegen (1)
Rochlitz,Russische,29,29,0,0,0,0,51.04568,12.79905,Zutphen (3); Delft (2); Dordrecht (1)
Saarbrucken,,28,28,0,0,0,0,49.23436,6.99638,Rotterdam (7); 's-Gravenhage (5); Amsterdam (2)
Norderdithmarschen,Engelse,28,28,0,0,0,0,54.20561,9.10008,Amsterdam (1); De Bilt (1)
Beilngries,Amerikaanse,28,28,0,0,0,0,49.01967,11.50367,Rotterdam (12); Gouda (8); Amsterdam (6)
Marienberg,Russische,27,27,0,0,0,0,50.65073,13.16319,Groningen (4); Alkmaar (3); Leiden (3)
Frankfurt An Der Oder,Russische,26,26,0,0,0,0,52.34123,14.54945,Amsterdam (8); 's-Gravenhage (2); Rotterdam (2)
Stollberg,Russische,26,26,0,0,0,0,50.70877,12.77626,Amsterdam (4); Rotterdam (4); Dordrecht (3)
Eiderstadt,Engelse,25,25,0,0,0,0,,,Zwijndrecht (1); Meppel (1); Rotterdam (1)
Regen,Amerikaanse,25,25,0,0,0,0,49.18442,12.42518,Appingedam (3)
Flöha,Russische,25,25,0,0,0,0,50.85035,13.07723,Sneek (5); Utrecht (1)
Monschau,Engelse,25,25,0,0,0,0,50.55447,6.2408,Haarlem (1); Amsterdam (1); Beegden (1)
Greiz,Russische,25,25,0,0,0,0,50.77838,12.07635,Rotterdam (6); Noordwijkerhout (6); Deventer (3)
Parsberg,Amerikaanse,24,24,0,0,0,0,49.15988,11.71877,Rotterdam (15); Tilburg (3)
Spremberg,Russische,24,24,0,0,0,0,51.57145,14.38043,Amsterdam (7); Idaarderadeel (2); Eindhoven (2)
Staffelstein,Amerikaanse,24,24,0,0,0,0,47.75637,12.35837,Heerlen (3); Rotterdam (2); Arnhem (2)
Radebeul,Russische,24,24,0,0,0,0,51.09998,13.6768,Vlissingen (3); Delft (1)
Zeitz,Russische,23,23,0,0,0,0,51.04916,12.135,Alkmaar (2); Rotterdam (2); Amsterdam (2)
Simmern,Franse,23,23,0,0,0,0,49.98373,7.52277,Groningen (1)
Wurzen,Russische,23,23,0,0,0,0,51.37096,12.74106,Velsen (4); Vriezenveen (2); Rotterdam (2)
Mansfeldergebirgskreis,Russische,23,23,0,0,0,0,51.48269,11.68058,Amsterdam (8); Ambt Ommen (4); Maarssen (3)
Parchim,Russische,22,22,0,0,0,0,53.42585,11.84752,Den Helder (4); Amsterdam (4); 's-Gravenhage (1)
Döbeln,Russische,22,22,0,0,0,0,51.1167,13.1167,Oostzaan (3); Heinkenszand (3); Geldrop (2)
Rottenburg,Amerikaanse,22,22,0,0,0,0,48.47696,8.93368,Amsterdam (6); Tilburg (4); Harlingen (3)
Schaumburg-Lippe,Engelse,21,21,0,0,0,0,50.72989,7.10926,Hoogeveen (3); 's-Gravenhage (2); Doesburg (1)
Schönberg,Russische,20,20,0,0,0,0,53.67818,10.43184,Beerta (3); Amsterdam (2); Vlaardingen (1)
Lübben,Russische,19,19,0,0,0,0,51.9419,13.89638,Amsterdam (3); Gorinchem (1); Rotterdam (1)
